pyears,n,event,rate,term,group,outcome,analysis,pyears_unexposed,ratio,ratio_text
803.0746064339494,5616,NA,3.735642960149732,patternintermittent,pattern,bisphosphonate,main,803.0746064339494,8.780548404478239,1:9
91.46064339493498,939,NA,10.933664611147698,patterncontinuous,pattern,bisphosphonate,main,803.0746064339494,8.780548404478239,1:9
12.706365503080082,95,NA,0,cumdaysfew,cumdays,bisphosphonate,main,12.706365503080082,0.014409105586051019,1:0
881.8288843258042,6460,NA,4.53602742107747,cumdaysmany,cumdays,bisphosphonate,main,12.706365503080082,0.014409105586051019,1:0
232.5201916495551,1681,NA,4.300701770911831,pattern_rt_gapintermittent,pattern_rt_gap,bisphosphonate,main,232.5201916495551,0.35123097092237004,1:0
662.0150581793292,4874,NA,4.531618975934756,pattern_rt_gapcontinuous,pattern_rt_gap,bisphosphonate,main,232.5201916495551,0.35123097092237004,1:0
809.2156057494866,5940,NA,4.943058403199286,pattern_laggedintermittent,pattern_lagged,bisphosphonate,main,809.2156057494866,9.484516895035778,1:9
85.31964407939768,615,NA,0,pattern_laggedcontinuous,pattern_lagged,bisphosphonate,main,809.2156057494866,9.484516895035778,1:9
607.2060232717317,4355,NA,3.293774968212028,pattern_ittintermittent,pattern_itt,bisphosphonate,main,607.2060232717317,2.1132762251422146,1:2
287.32922655715265,2200,NA,6.960656331291032,pattern_ittcontinuous,pattern_itt,bisphosphonate,main,607.2060232717317,2.1132762251422146,1:2
NA,49,NA,0,cumdose450 to 899 mg,cumdose,bisphosphonate,main,NA,0.4660543850171079,1:0
15.203285420944558,113,NA,0,cumdose900 to 1500 mg,cumdose,bisphosphonate,main,NA,0.4660543850171079,1:0
872.2464065708419,6393,NA,4.585860107725338,cumdose>1500 mg,cumdose,bisphosphonate,main,NA,0.4660543850171079,1:0
808.3504449007529,5923,NA,4.948348856900931,severity0,severity,bisphosphonate,main,808.3504449007529,18.93720736322237,1:19
42.68583162217659,299,NA,0,severity1,severity,bisphosphonate,main,808.3504449007529,18.93720736322237,1:19
35.148528405201915,269,NA,0,severity2,severity,bisphosphonate,main,808.3504449007529,18.93720736322237,1:19
NA,64,NA,0,severity3,severity,bisphosphonate,main,808.3504449007529,18.93720736322237,1:19
890.5927446954141,6524,NA,4.491390732548595,asthma0,asthma,bisphosphonate,main,890.5927446954141,225.8951388888889,1:226
NA,31,NA,0,asthma1,asthma,bisphosphonate,main,890.5927446954141,225.8951388888889,1:226
893.5496235455167,6547,NA,4.476528101627299,alc0,alc,bisphosphonate,main,893.5496235455167,906.5805555555555,1:907
NA,NA,NA,0,alc1,alc,bisphosphonate,main,893.5496235455167,906.5805555555555,1:907
4467.6194387405885,27439,30,6.714985555810217,patternintermittent,pattern,bisphosphonate,sens_all_follow_up,4467.6194387405885,28.120872682153443,1:28
158.87200547570157,1791,NA,12.5887502584959,patterncontinuous,pattern,bisphosphonate,sens_all_follow_up,4467.6194387405885,28.120872682153443,1:28
18.21218343600274,130,NA,0,cumdaysfew,cumdays,bisphosphonate,sens_all_follow_up,18.21218343600274,0.003952057244230246,1:0
4608.279260780288,29100,32,6.944023612532038,cumdaysmany,cumdays,bisphosphonate,sens_all_follow_up,18.21218343600274,0.003952057244230246,1:0
1221.467488021903,7775,NA,7.368186290881133,pattern_rt_gapintermittent,pattern_rt_gap,bisphosphonate,sens_all_follow_up,1221.467488021903,0.3587250790996113,1:0
